title,description,type,targetValue,rewardXp,isActive
Hoàn thành 1 bài học,Hôm nay bé hoàn thành 1 bài học bất kỳ,COMPLETE_LESSON,1,10,true
Làm 1 bài Toán,Hôm nay bé hoàn thành 1 bài Toán,COMPLETE_MATH,1,10,true
Hoàn thành 1 hội thoại,Hôm nay bé hoàn thành 1 bài hội thoại,COMPLETE_DIALOGUE,1,10,true
Ôn 3 flashcard,Hôm nay bé xem và ôn 3 thẻ flashcard,REVIEW_FLASHCARD,3,5,true
Quét 1 mã QR,Hôm nay bé quét 1 mã QR để mở NPC,SCAN_QR,1,10,true
Hoàn thành 2 bài học,Hôm nay bé hoàn thành 2 bài học,COMPLETE_LESSON,2,20,true
Ôn 5 flashcard,Hôm nay bé ôn 5 flashcard,REVIEW_FLASHCARD,5,10,true
Làm 2 bài Toán,Hôm nay bé hoàn thành 2 bài Toán,COMPLETE_MATH,2,20,true
Hoàn thành Toán và Hội thoại,Hôm nay bé học cả Toán và Hội thoại,COMPLETE_LESSON,2,20,true
Mở khóa bạn mới,Hôm nay bé mở khóa 1 NPC mới,SCAN_QR,1,15,true
Học say mê,Hôm nay bé hoàn thành 3 bài học bất kỳ,COMPLETE_LESSON,3,30,true
Rèn luyện trí não,Hôm nay bé hoàn thành 3 bài Toán,COMPLETE_MATH,3,30,true
Siêu nhân ôn tập,Hôm nay bé ôn 10 thẻ flashcard,REVIEW_FLASHCARD,10,20,true
Lắng nghe và thấu cảm,Hôm nay bé hoàn thành 2 bài hội thoại,COMPLETE_DIALOGUE,2,20,true