lessonTitle,frontText,backText,imageUrl,audioUrl,orderIndex
Gọi tên con vật,Mèo,Con mèo kêu meo meo,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f431.svg,,1
Gọi tên con vật,Chó,Con chó kêu gâu gâu,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f436.svg,,2
Gọi tên con vật,Gấu,Con gấu to và hiền,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f43b.svg,,3
Gọi tên con vật,Thỏ,Con thỏ có tai dài,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f430.svg,,4
Nhận biết cảm xúc,Vui,Khi vui chúng ta thường cười,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f600.svg,,1
Nhận biết cảm xúc,Buồn,Khi buồn chúng ta có thể khóc,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f622.svg,,2
Chào hỏi đơn giản,Xin chào,Dùng khi gặp ai đó,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f44b.svg,,1
Tạm biệt và hẹn gặp lại,Tạm biệt,Dùng khi rời đi,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f44b.svg,,1
Xin và cảm ơn,Cảm ơn,Dùng khi nhận được sự giúp đỡ,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f64f.svg,,1
Xin và cảm ơn,Xin lỗi,Dùng khi làm sai hoặc làm phiền ai đó,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f97a.svg,,2
Nghe và chọn đồ vật,Quả táo,Một loại trái cây màu đỏ hoặc xanh,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f34e.svg,,1
Nghe và chọn đồ vật,Quả chuối,Một loại trái cây màu vàng,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f34c.svg,,2
Nghe và chọn đồ vật,Quả nho,Một chùm quả nhỏ,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f347.svg,,3
Nghe và chọn đồ vật,Xe hơi,Phương tiện có bánh xe,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f697.svg,,4
Nghe và chọn đồ vật,Ngôi nhà,Nơi gia đình sinh sống,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f3e0.svg,,5
Nghe và chọn đồ vật,Quyển sách,Dùng để đọc và học,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f4d6.svg,,6
Đếm số lượng con vật,Số 1,Một đồ vật hoặc một con vật,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/31-20e3.svg,,1
Chọn số đúng,Số 2,Hai đồ vật hoặc hai con vật,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/32-20e3.svg,,1
So sánh nhiều và ít,Nhiều,Có số lượng lớn hơn,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/2795.svg,,1
So sánh nhiều và ít,Ít,Có số lượng nhỏ hơn,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/2796.svg,,2
Từ vựng gia đình,Bố (Father),Bố là người yêu thương bé,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f468.svg,,1
Từ vựng gia đình,Mẹ (Mother),Mẹ là người chăm sóc bé,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f469.svg,,2
Từ vựng gia đình,Anh trai (Brother),Anh trai hay chơi cùng bé,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f466.svg,,3
Từ vựng gia đình,Em gái (Sister),Em gái nhỏ đáng yêu của bé,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f467.svg,,4
Màu sắc quanh bé,Màu đỏ (Red),Màu của quả táo chín,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f534.svg,,1
Màu sắc quanh bé,Màu xanh lá (Green),Màu của chiếc lá cây,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f7e2.svg,,2
Màu sắc quanh bé,Màu xanh dương (Blue),Màu của bầu trời bao la,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f535.svg,,3
Màu sắc quanh bé,Màu vàng (Yellow),Màu của quả chuối ngọt,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f7e1.svg,,4
Phương tiện giao thông,Xe đạp (Bicycle),Xe đạp có hai bánh tự lăn,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f6b2.svg,,1
Phương tiện giao thông,Xe buýt (Bus),Xe buýt chở nhiều người đi học,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f68c.svg,,2
Phương tiện giao thông,Máy bay (Airplane),Máy bay bay cao trên bầu trời,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/2708.svg,,3
Phương tiện giao thông,Tàu hỏa (Train),Tàu hỏa chạy trên đường ray,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f682.svg,,4